time;GPU;sm;tw;block_m;kw;
0.0132;1;0;32;6;14;
771.7170;1;0;12;6;14;
939.1848;1;0;8;6;16;
939.3451;1;0;16;6;16;
0.0134;1;0;32;6;16;
1005.1332;1;0;12;6;16;
1173.5389;1;0;8;6;18;
1173.4817;1;0;16;6;18;
0.0128;1;0;32;6;18;
1198.1595;1;0;12;6;18;
1433.5197;1;0;8;6;20;
1433.5798;1;0;16;6;20;
0.0132;1;0;32;6;20;
1487.3160;1;0;12;6;20;
29.6776;1;0;8;7;2;
41.1322;1;0;16;7;2;
0.0116;1;0;32;7;2;
41.0923;1;0;12;7;2;
112.3270;1;0;8;7;4;
81.8377;1;0;16;7;4;
0.0130;1;0;32;7;4;
84.8840;1;0;12;7;4;
216.9721;1;0;8;7;6;
159.9141;1;0;16;7;6;
0.0141;1;0;32;7;6;
190.1609;1;0;12;7;6;
263.8640;1;0;8;7;8;
263.8434;1;0;16;7;8;
0.0129;1;0;32;7;8;
293.6329;1;0;12;7;8;
393.6228;1;0;8;7;10;
393.6417;1;0;16;7;10;
0.0132;1;0;32;7;10;
443.4322;1;0;12;7;10;
549.3055;1;0;8;7;12;
549.4146;1;0;16;7;12;
0.0124;1;0;32;7;12;
596.3201;1;0;12;7;12;
731.3032;1;0;8;7;14;
731.2366;1;0;16;7;14;
0.0134;1;0;32;7;14;
731.3848;1;0;12;7;14;
939.3066;1;0;8;7;16;
939.3831;1;0;16;7;16;
0.0131;1;0;32;7;16;
993.0833;1;0;12;7;16;
1173.4415;1;0;8;7;18;
1173.4504;1;0;16;7;18;
0.0131;1;0;32;7;18;
1201.5376;1;0;12;7;18;
1433.5729;1;0;8;7;20;
1433.7308;1;0;16;7;20;
0.0137;1;0;32;7;20;
1485.7208;1;0;12;7;20;
29.6712;1;0;8;8;2;
29.6652;1;0;16;8;2;
0.0132;1;0;32;8;2;
41.0845;1;0;12;8;2;
111.4132;1;0;8;8;4;
107.6864;1;0;16;8;4;
0.0125;1;0;32;8;4;
112.4373;1;0;12;8;4;
159.8873;1;0;8;8;6;
159.9104;1;0;16;8;6;
0.0132;1;0;32;8;6;
187.2491;1;0;12;8;6;
263.8452;1;0;8;8;8;
263.8293;1;0;16;8;8;
0.0134;1;0;32;8;8;
300.8594;1;0;12;8;8;
393.6756;1;0;8;8;10;
393.6432;1;0;16;8;10;
0.0129;1;0;32;8;10;
393.6454;1;0;12;8;10;
549.3629;1;0;8;8;12;
549.4175;1;0;16;8;12;
0.0145;1;0;32;8;12;
602.3079;1;0;12;8;12;
731.2903;1;0;8;8;14;
731.3659;1;0;16;8;14;
0.0134;1;0;32;8;14;
785.2552;1;0;12;8;14;
939.3036;1;0;8;8;16;
939.3508;1;0;16;8;16;
0.0133;1;0;32;8;16;
992.8149;1;0;12;8;16;
1173.3918;1;0;8;8;18;
1173.6450;1;0;16;8;18;
0.0131;1;0;32;8;18;
1230.4473;1;0;12;8;18;
1433.6370;1;0;8;8;20;
1433.7792;1;0;16;8;20;
0.0132;1;0;32;8;20;
1501.3491;1;0;12;8;20;
